ILLUMINA_BioSample,CenterName,ONT_BioSample,BioSample,ILLUMINA_Run,ONT_Run
SAMN27763142,WADSWORTH CENTER,SAMN15703191,,,
SAMN27763143,WADSWORTH CENTER,SAMN15703192,,,
SAMN27763099,WADSWORTH CENTER,SAMN15703167,,,
SAMN27763100,WADSWORTH CENTER,SAMN15703168,,,
SAMN27763102,WADSWORTH CENTER,SAMN15703170,,,
SAMN27763132,WADSWORTH CENTER,SAMN15703181,,,
SAMN27763095,WADSWORTH CENTER,SAMN15703163,,,
SAMN27763097,WADSWORTH CENTER,SAMN15703165,,,
SAMN27763098,WADSWORTH CENTER,SAMN15703166,,,
SAMN27763112,WADSWORTH CENTER,SAMN15703180,,,
SAMN27763107,WADSWORTH CENTER,SAMN15703175,,,
SAMN27763108,WADSWORTH CENTER,SAMN15703176,,,
SAMN27763109,WADSWORTH CENTER,SAMN15703177,,,
SAMN27763110,WADSWORTH CENTER,SAMN15703178,,,
SAMN27763111,WADSWORTH CENTER,SAMN15703179,,,
SAMN27763094,WADSWORTH CENTER,SAMN15703162,,,
SAMN27763103,WADSWORTH CENTER,SAMN15703171,,,
SAMN27763104,WADSWORTH CENTER,SAMN15703172,,,
SAMN27763106,WADSWORTH CENTER,SAMN15703174,,,
SAMN27763050,WADSWORTH CENTER,SAMN15703148,,,
SAMN27763051,WADSWORTH CENTER,SAMN15703149,,,
SAMN27763052,WADSWORTH CENTER,SAMN15703150,,,
SAMN27763093,WADSWORTH CENTER,SAMN15703161,,,
SAMN27763046,WADSWORTH CENTER,SAMN15703144,,,
SAMN27763047,WADSWORTH CENTER,SAMN15703145,,,
SAMN27763048,WADSWORTH CENTER,SAMN15703146,,,
SAMN27763062,WADSWORTH CENTER,SAMN15703160,,,
SAMN27763057,WADSWORTH CENTER,SAMN15703155,,,
SAMN27763058,WADSWORTH CENTER,SAMN15703156,,,
SAMN27763060,WADSWORTH CENTER,SAMN15703158,,,
SAMN27763061,WADSWORTH CENTER,SAMN15703159,,,
SAMN27763053,WADSWORTH CENTER,SAMN15703151,,,
SAMN27763054,WADSWORTH CENTER,SAMN15703152,,,
SAMN27763055,WADSWORTH CENTER,SAMN15703153,,,
SAMN27763056,WADSWORTH CENTER,SAMN15703154,,,
SAMN27762817,WADSWORTH CENTER,SAMN15703128,,,
SAMN27762818,WADSWORTH CENTER,SAMN15703129,,,
SAMN27762819,WADSWORTH CENTER,SAMN15703130,,,
SAMN27763043,WADSWORTH CENTER,SAMN15703141,,,
